Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S253053193,Canada Goose,Branta canadensis,342,6,US-MD,Montgomery,L126620,Hughes Hollow - McKee Beshers WMA,39.0803767,-77.4035096,2025-06-22,06:50 AM,eBird - Traveling Count,99,1,1.237,,1
S259644861,Canada Goose,Branta canadensis,342,5,US-MD,Montgomery,L126620,Hughes Hollow - McKee Beshers WMA,39.0803767,-77.4035096,2025-07-13,03:26 PM,eBird - Traveling Count,15,1,.342,,2
S176627258,Canada Goose,Branta canadensis,342,2,US-MD,Montgomery,L32216879,"Kaiser Permanente, Gaithersburg, Maryland, US (39.156, -77.222)",39.1558353,-77.2220648,2024-05-23,06:34 PM,eBird - Stationary Count,4,1,,,2
S186245620,Canada Goose,Branta canadensis,342,21,US-MD,Montgomery,L32216879,"Kaiser Permanente, Gaithersburg, Maryland, US (39.156, -77.222)",39.1558353,-77.2220648,2024-07-09,05:42 PM,eBird - Traveling Count,13,0,.274,,1,,,I think I saw a yellow billed cuckoo but only from the back and it flew off before I could catch up.
S295176924,Canada Goose,Branta canadensis,342,18,US-MD,Montgomery,L32216879,"Kaiser Permanente, Gaithersburg, Maryland, US (39.156, -77.222)",39.1558353,-77.2220648,2026-01-19,11:16 AM,eBird - Stationary Count,28,1,,,1
S253542219,Canada Goose,Branta canadensis,342,10,US-MD,Montgomery,L48335959,"Kaiser Retention Pomd, Gaithersburg, Maryland, US (39.155, -77.222)",39.1553049,-77.221738,2025-06-23,06:47 PM,eBird - Stationary Count,4,1,,,1
S206614569,Canada Goose,Branta canadensis,342,10,US-MD,Montgomery,L224286,Lake Frank,39.1028755,-77.1198104,2022-01-27,08:00 AM,Historical,60,0,3.219,,2
S245062525,Canada Goose,Branta canadensis,342,8,US-MD,Montgomery,L224286,Lake Frank,39.1028755,-77.1198104,2025-05-31,11:53 AM,eBird - Traveling Count,38,1,.75,,1
S303064806,Canada Goose,Branta canadensis,342,31,US-MD,Montgomery,L11978481,"Lakeforest Mall stormwater ponds, Gaithersburg",39.1529726,-77.2085064,2026-02-22,11:21 AM,eBird - Traveling Count,62,1,8.579,,1
S276905817,Canada Goose,Branta canadensis,342,X,US-MD,Montgomery,L1554234,Little Bennett RP--Froggy Hollow Trail,39.2619385,-77.2789755,2025-10-02,06:07 PM,eBird - Traveling Count,51,1,1.195,,1
S225232220,Canada Goose,Branta canadensis,342,1,US-MD,Montgomery,L31569197,"Malcolm King Park (39.121, -77.212)",39.1205865,-77.212024,2025-04-13,10:38 AM,eBird - Traveling Count,35,1,.805,,2
S232178059,Canada Goose,Branta canadensis,342,1,US-MD,Montgomery,L31569197,"Malcolm King Park (39.121, -77.212)",39.1205865,-77.212024,2025-05-02,05:38 PM,eBird - Traveling Count,19,1,1.014,,1
S302680251,Canada Goose,Branta canadensis,342,3,US-MD,Montgomery,L31569197,"Malcolm King Park (39.121, -77.212)",39.1205865,-77.212024,2026-02-21,08:56 AM,eBird - Traveling Count,15,1,.76,,1
S307216901,Canada Goose,Branta canadensis,342,2,US-MD,Montgomery,L31569197,"Malcolm King Park (39.121, -77.212)",39.1205865,-77.212024,2026-03-08,09:51 AM,eBird - Traveling Count,76,1,1.346,,1,,,70f this morning on the walk. Watched a few crows try to take The nest that one of our pairs of red shouldered Hawks are building. The Hawks were not amused.
S177345442,Canada Goose,Branta canadensis,342,8,US-MD,Montgomery,L32384015,"Montgomery County Landfill, Gaithersburg, Maryland, US (39.123, -77.173)",39.1229591,-77.1734085,2024-05-26,01:30 PM,eBird - Traveling Count,14,1,1.384,,1
S231384757,Canada Goose,Branta canadensis,342,4,US-MD,Montgomery,L8617665,Muddy Branch Greenway Trail--Pennyfield entrance,39.0579926,-77.2935924,2025-04-30,07:19 PM,eBird - Traveling Count,35,1,2.865,,1
S185018356,Canada Goose,Branta canadensis,342,X,US-MD,Montgomery,L11140089,"Rio Park, Gaithersburg",39.1168491,-77.1972698,2024-07-02,07:22 PM,eBird - Traveling Count,27,1,1.368,,1
